Gender,Nationality,Region,Year,Population
Male,Non Saudi,Tabuk,2018,189875
Male,Non Saudi,Tabuk,2019,184034
Male,Non Saudi,Tabuk,2020,200296
Male,Non Saudi,Tabuk,2021,185185
Male,Non Saudi,Tabuk,2022,205977
Male,Saudi,Al Bahah,2010,92422
Male,Saudi,Al Bahah,2011,94235
Male,Saudi,Al Bahah,2012,96365
Male,Saudi,Al Bahah,2013,98881
Male,Saudi,Al Bahah,2014,101794
Male,Saudi,Al Bahah,2015,104524
Male,Saudi,Al Bahah,2016,106956
Male,Saudi,Al Bahah,2017,109065
Male,Saudi,Al Bahah,2018,111589
Male,Saudi,Al Bahah,2019,114395
Male,Saudi,Al Bahah,2020,117530
Male,Saudi,Al Bahah,2021,120156
Male,Saudi,Al Bahah,2022,122883
Male,Saudi,Al Jawf,2010,170202
Male,Saudi,Al Jawf,2011,173361
Male,Saudi,Al Jawf,2012,177107
Male,Saudi,Al Jawf,2013,181436
Male,Saudi,Al Jawf,2014,186470
Male,Saudi,Al Jawf,2015,191142
Male,Saudi,Al Jawf,2016,195224
Male,Saudi,Al Jawf,2017,198781
Male,Saudi,Al Jawf,2018,202935
Male,Saudi,Al Jawf,2019,207354
Male,Saudi,Al Jawf,2020,212298
Male,Saudi,Al Jawf,2021,216252
Male,Saudi,Al Jawf,2022,220359
Male,Saudi,Al Madinah Al Munawwarah,2010,507527
Male,Saudi,Al Madinah Al Munawwarah,2011,517557
Male,Saudi,Al Madinah Al Munawwarah,2012,529499
Male,Saudi,Al Madinah Al Munawwarah,2013,543503
Male,Saudi,Al Madinah Al Munawwarah,2014,559725
Male,Saudi,Al Madinah Al Munawwarah,2015,574828
Male,Saudi,Al Madinah Al Munawwarah,2016,588122
Male,Saudi,Al Madinah Al Munawwarah,2017,599638
Male,Saudi,Al Madinah Al Munawwarah,2018,613235
Male,Saudi,Al Madinah Al Munawwarah,2019,628057
Male,Saudi,Al Madinah Al Munawwarah,2020,644698
Male,Saudi,Al Madinah Al Munawwarah,2021,658453
Male,Saudi,Al Madinah Al Munawwarah,2022,672749
Male,Saudi,Al Qaseem,2010,347002
Male,Saudi,Al Qaseem,2011,353873
Male,Saudi,Al Qaseem,2012,362068
Male,Saudi,Al Qaseem,2013,371679
Male,Saudi,Al Qaseem,2014,382811
Male,Saudi,Al Qaseem,2015,393229
Male,Saudi,Al Qaseem,2016,402308
Male,Saudi,Al Qaseem,2017,410211
Male,Saudi,Al Qaseem,2018,419545
Male,Saudi,Al Qaseem,2019,429850
Male,Saudi,Al Qaseem,2020,441421
Male,Saudi,Al Qaseem,2021,451061
Male,Saudi,Al Qaseem,2022,461032
Male,Saudi,Ar Riyadh,2010,1669970
Male,Saudi,Ar Riyadh,2011,1704831
Male,Saudi,Ar Riyadh,2012,1746263
Male,Saudi,Ar Riyadh,2013,1794724
Male,Saudi,Ar Riyadh,2014,1850887
Male,Saudi,Ar Riyadh,2015,1903165
Male,Saudi,Ar Riyadh,2016,1948993
Male,Saudi,Ar Riyadh,2017,1988653
Male,Saudi,Ar Riyadh,2018,2035530
Male,Saudi,Ar Riyadh,2019,2086662
Male,Saudi,Ar Riyadh,2020,2144437
Male,Saudi,Ar Riyadh,2021,2192321
Male,Saudi,Ar Riyadh,2022,2242045
Male,Saudi,Aseer,2010,541748
Male,Saudi,Aseer,2011,552283
Male,Saudi,Aseer,2012,564774
Male,Saudi,Aseer,2013,579440
Male,Saudi,Aseer,2014,596354
Male,Saudi,Aseer,2015,612226
Male,Saudi,Aseer,2016,626115
Male,Saudi,Aseer,2017,638272
Male,Saudi,Aseer,2018,652700
Male,Saudi,Aseer,2019,668468
